price,area,height,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
5250000,10269,802,72,yes,no,no,no,no,1,yes,semi-furnished
5250000,8400,741,57,yes,yes,yes,no,yes,2,yes,unfurnished
5250000,5300,739,54,yes,no,no,no,yes,0,yes,unfurnished
5250000,3800,650,56,yes,yes,yes,no,no,1,yes,unfurnished
5250000,9800,592,45,yes,yes,no,no,no,2,no,semi-furnished
5250000,8520,577,42,yes,no,no,no,yes,2,no,furnished
5243000,6050,500,36,yes,no,yes,no,no,0,yes,semi-furnished
5229000,7085,1136,80,yes,yes,yes,no,no,2,yes,semi-furnished
5215000,3180,695,52,yes,no,no,no,no,2,no,semi-furnished
5215000,4500,551,45,no,no,yes,no,yes,2,no,semi-furnished
5215000,7200,550,40,yes,yes,yes,no,no,1,yes,furnished
5145000,3410,568,49,no,no,no,no,yes,0,no,semi-furnished
5145000,7980,504,33,yes,no,no,no,no,1,yes,semi-furnished
5110000,3000,560,50,yes,yes,yes,no,no,0,no,furnished
5110000,3000,512,40,yes,no,yes,no,no,0,no,unfurnished
5110000,11410,448,31,yes,no,no,no,no,0,yes,furnished
5110000,6100,538,40,yes,no,yes,no,yes,0,yes,semi-furnished
5075000,5720,410,27,yes,no,no,no,yes,0,yes,unfurnished
5040000,3540,409,31,no,yes,yes,no,no,0,no,semi-furnished
5040000,7600,504,35,yes,no,no,no,yes,2,no,furnished
5040000,10700,777,57,yes,yes,yes,no,no,0,no,semi-furnished
5040000,6600,496,31,yes,yes,yes,no,no,0,yes,furnished
5033000,4800,386,26,yes,yes,yes,no,no,0,no,semi-furnished
5005000,8150,530,39,yes,yes,yes,no,no,0,no,semi-furnished
4970000,4410,360,25,yes,no,yes,no,no,2,no,semi-furnished
4970000,7686,355,23,yes,yes,yes,yes,no,0,no,semi-furnished
4956000,2800,1250,102,no,no,yes,no,yes,1,no,semi-furnished
4935000,5948,770,54,yes,no,no,no,yes,0,no,semi-furnished
4907000,4200,677,47,yes,no,no,no,no,1,no,furnished
4900000,4520,428,28,yes,no,yes,no,yes,0,no,semi-furnished
4900000,4095,410,38,no,yes,yes,no,yes,0,no,semi-furnished
4900000,4120,371,29,yes,no,yes,no,no,1,no,semi-furnished
4900000,5400,504,38,yes,no,no,no,no,0,no,semi-furnished
4900000,4770,1136,80,yes,yes,yes,no,no,0,no,semi-furnished
4900000,6300,695,52,yes,no,no,no,yes,2,no,semi-furnished
4900000,5800,551,45,yes,yes,yes,no,yes,0,no,semi-furnished
4900000,3000,550,40,yes,no,yes,no,yes,0,no,semi-furnished
4900000,2970,568,49,yes,no,no,no,no,0,no,semi-furnished
4900000,6720,504,33,yes,no,no,no,no,0,no,unfurnished
4900000,4646,560,50,yes,yes,yes,no,no,2,no,semi-furnished
4900000,12900,512,40,yes,no,no,no,no,2,no,furnished
4893000,3420,448,31,yes,no,yes,no,yes,2,no,semi-furnished
4893000,4995,538,40,yes,no,yes,no,no,0,no,semi-furnished
4865000,4350,410,27,yes,no,yes,no,no,0,no,unfurnished
4830000,4160,409,31,yes,no,no,no,no,0,no,unfurnished
4830000,6040,504,35,yes,no,no,no,no,2,yes,semi-furnished
4830000,6862,777,57,yes,no,no,no,yes,2,yes,furnished
4830000,4815,496,31,yes,no,no,no,yes,0,yes,semi-furnished
4795000,7000,386,26,yes,no,yes,no,no,0,no,unfurnished
4795000,8100,530,39,yes,no,yes,no,yes,2,no,semi-furnished
4767000,3420,360,25,yes,no,no,no,no,0,no,semi-furnished
4760000,9166,355,23,yes,no,yes,no,yes,2,no,semi-furnished
4760000,6321,1250,102,yes,no,yes,no,yes,1,no,furnished
4760000,10240,802,72,yes,no,no,no,yes,2,yes,unfurnished
4753000,6440,741,57,yes,no,no,no,yes,3,no,semi-furnished
4690000,5170,739,54,yes,no,no,no,yes,0,no,semi-furnished
4690000,6000,650,56,yes,no,yes,no,yes,1,no,furnished
4690000,3630,592,45,yes,no,no,no,no,2,no,semi-furnished
4690000,9667,577,42,yes,yes,yes,no,no,1,no,semi-furnished
4690000,5400,500,36,yes,no,no,no,no,0,yes,semi-furnished
4690000,4320,770,54,yes,no,no,no,no,0,yes,semi-furnished
4655000,3745,677,47,yes,no,yes,no,no,0,no,furnished
4620000,4160,428,28,yes,yes,yes,no,yes,0,no,unfurnished
4620000,3880,410,38,yes,no,yes,no,no,2,no,semi-furnished
4620000,5680,371,29,yes,yes,no,no,yes,1,no,semi-furnished
4620000,2870,504,38,yes,yes,yes,no,no,0,yes,semi-furnished
4620000,5010,1136,80,yes,no,yes,no,no,0,no,semi-furnished
4613000,4510,695,52,yes,no,yes,no,no,0,no,semi-furnished
4585000,4000,551,45,yes,no,no,no,no,1,no,furnished
4585000,3840,550,40,yes,no,no,no,no,1,yes,semi-furnished
4550000,3760,568,49,yes,no,no,no,no,2,no,semi-furnished
4550000,3640,504,33,yes,no,no,no,yes,0,no,furnished
4550000,2550,560,50,yes,no,yes,no,no,0,no,furnished
4550000,5320,512,40,yes,yes,yes,no,no,0,yes,semi-furnished
4550000,5360,448,31,yes,no,no,no,no,2,yes,unfurnished
4550000,3520,538,40,yes,no,no,no,no,0,yes,semi-furnished
4550000,8400,410,27,yes,no,no,no,no,3,no,unfurnished
4543000,4100,409,31,yes,yes,yes,no,no,0,no,semi-furnished
4543000,4990,504,35,yes,yes,yes,no,no,0,yes,furnished
4515000,3510,777,57,yes,no,no,no,no,0,no,semi-furnished
4515000,3450,496,31,yes,no,yes,no,no,1,no,semi-furnished
4515000,9860,386,26,yes,no,no,no,no,0,no,semi-furnished
4515000,3520,530,39,yes,no,no,no,no,0,yes,furnished
4480000,4510,360,25,yes,no,no,no,yes,2,no,semi-furnished
4480000,5885,355,23,yes,no,no,no,yes,1,no,unfurnished
4480000,4000,1250,102,yes,no,no,no,no,2,no,furnished
4480000,8250,802,72,yes,no,no,no,no,0,no,furnished
4480000,4040,741,57,yes,no,no,no,no,1,no,semi-furnished
4473000,6360,739,54,yes,no,yes,no,yes,1,no,furnished
4473000,3162,650,56,yes,no,no,no,yes,1,no,furnished
4473000,3510,592,45,yes,no,no,no,no,0,no,semi-furnished
4445000,3750,577,42,yes,yes,yes,no,no,0,no,semi-furnished
4410000,3968,500,36,no,no,no,no,no,0,no,semi-furnished
4410000,4900,741,57,yes,no,yes,no,no,0,no,semi-furnished
4403000,2880,739,54,yes,no,no,no,no,0,yes,semi-furnished
4403000,4880,741,57,yes,no,no,no,no,2,yes,unfurnished
4403000,4920,739,54,yes,no,no,no,no,1,no,semi-furnished
4382000,4950,741,57,yes,no,no,no,yes,0,no,semi-furnished
